waypoint1	waypoint2	distance_m	duration_s
Congress Hall, Congress Place, Cape May, NJ 08204	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4775270	153549
Maryland State House, 100 State Cir, Annapolis, MD 21401	Shelburne Farms, Harbor Road, Shelburne, VT	799522	29333
Taliesin, County Road C, Spring Green, Wisconsin	Grand Canyon National Park, Arizona	2555807	83764
USS Constitution, Boston, MA	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1670972	56710
Fort Sumter National Monument, Sullivan's Island, SC	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1483499	48668
Taliesin, County Road C, Spring Green, Wisconsin	Pikes Peak, Colorado	1659414	54899
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Hanford Site, Benton County, WA	1661609	56332
Liberty Bell, 6th Street, Philadelphia, PA	New Castle Historic District, Delaware	162565	6109
Toltec Mounds, Scott, AR	Maryland State House, 100 State Cir, Annapolis, MD 21401	1690140	55321
San Andreas Fault, San Benito County, CA	White House, Pennsylvania Avenue Northwest, Washington, DC	4598813	147923
Congress Hall, Congress Place, Cape May, NJ 08204	Olympia Entertainment, Woodward Avenue, Detroit, MI	1092600	36702
Terrace Hill, Grand Avenue, Des Moines, IA	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1848155	63009
USS Alabama, Battleship Parkway, Mobile, AL	Fort Snelling, Tower Avenue, Saint Paul, MN	1867680	64758
Wright Brothers National Memorial Visitor Center, Manteo, NC	Fort Snelling, Tower Avenue, Saint Paul, MN	2236906	75704
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	2335379	76633
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1147157	39324
New Castle Historic District, Delaware	Acadia National Park, Maine	1071576	38496
Hoover Dam, NV	Mount Vernon, Fairfax County, Virginia	3904526	124088
Taliesin, County Road C, Spring Green, Wisconsin	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	921910	31814
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	USS Constitution, Boston, MA	2359929	78386
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Grand Canyon National Park, Arizona	4039492	130415
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1406589	47379
San Andreas Fault, San Benito County, CA	Vicksburg National Military Park, Clay Street, Vicksburg, MS	3189360	103045
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Fort Sumter National Monument, Sullivan's Island, SC	1155865	37713
Terrace Hill, Grand Avenue, Des Moines, IA	Pikes Peak, Colorado	1230185	40625
Statue of Liberty, Liberty Island, NYC, NY	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1278590	44793
Fort Sumter National Monument, Sullivan's Island, SC	Fort Snelling, Tower Avenue, Saint Paul, MN	2120739	69923
Gateway Arch, Washington Avenue, St Louis, MO	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3309548	105479
Maryland State House, 100 State Cir, Annapolis, MD 21401	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4568737	146417
Maryland State House, 100 State Cir, Annapolis, MD 21401	Mount Vernon, Fairfax County, Virginia	75403	3165
Mount Vernon, Fairfax County, Virginia	Hanford Site, Benton County, WA	4263334	138596
New Castle Historic District, Delaware	The Alamo, Alamo Plaza, San Antonio, TX	2736315	88893
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Olympia Entertainment, Woodward Avenue, Detroit, MI	2168837	70848
Wright Brothers National Memorial Visitor Center, Manteo, NC	Fort Sumter National Monument, Sullivan's Island, SC	715393	23430
USS Constitution, Boston, MA	Grand Canyon National Park, Arizona	4225504	136164
Taliesin, County Road C, Spring Green, Wisconsin	Cape Canaveral, FL	2250465	72627
French Quarter, New Orleans, LA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1245550	40104
Mount Vernon, Fairfax County, Virginia	Lost World Caverns, Lewisburg, WV	420070	14282
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Grand Canyon National Park, Arizona	4316197	141264
New Castle Historic District, Delaware	Pikes Peak, Colorado	2811795	95709
Lost World Caverns, Lewisburg, WV	USS Constitution, Boston, MA	1126003	38377
Terrace Hill, Grand Avenue, Des Moines, IA	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2190251	74576
USS Alabama, Battleship Parkway, Mobile, AL	Pikes Peak, Colorado	2157571	74324
USS Alabama, Battleship Parkway, Mobile, AL	French Quarter, New Orleans, LA	232384	7544
Craters of the Moon National Monument & Preserve, Arco, ID	White House, Pennsylvania Avenue Northwest, Washington, DC	3677215	120643
Graceland, Elvis Presley Boulevard, Memphis, TN	Lost World Caverns, Lewisburg, WV	1111929	36026
Carlsbad Caverns National Park, Carlsbad, NM	The Breakers, Ochre Point Avenue, Newport, RI	3575389	120329
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	509622	16928
Mount Vernon, Fairfax County, Virginia	Pikes Peak, Colorado	2712486	91592
Congress Hall, Congress Place, Cape May, NJ 08204	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1418227	48154
Graceland, Elvis Presley Boulevard, Memphis, TN	Grand Canyon National Park, Arizona	2265379	71607
USS Alabama, Battleship Parkway, Mobile, AL	San Andreas Fault, San Benito County, CA	3676539	116761
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	1616472	51634
Lost World Caverns, Lewisburg, WV	Congress Hall, Congress Place, Cape May, NJ 08204	719625	25492
Cape Canaveral, FL	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1528374	49277
Wright Brothers National Memorial Visitor Center, Manteo, NC	Cape Canaveral, FL	1253439	39835
New Castle Historic District, Delaware	Congress Hall, Congress Place, Cape May, NJ 08204	84730	8914
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Glacier National Park, West Glacier, MT	1154489	41962
Graceland, Elvis Presley Boulevard, Memphis, TN	USS Constitution, Boston, MA	2123612	70326
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Shelburne Farms, Harbor Road, Shelburne, VT	2221537	77379
New Castle Historic District, Delaware	Bryce Canyon National Park, Hwy 63, Bryce, UT	3700130	122310
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	908130	33755
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Bryce Canyon National Park, Hwy 63, Bryce, UT	3928478	127896
Maryland State House, 100 State Cir, Annapolis, MD 21401	Cape Canaveral, FL	1449191	45859
White House, Pennsylvania Avenue Northwest, Washington, DC	Ashfall Fossil Bed, Royal, NE	2100633	71136
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Fort Snelling, Tower Avenue, Saint Paul, MN	2337354	80120
Olympia Entertainment, Woodward Avenue, Detroit, MI	Columbia River Gorge National Scenic Area, Oregon	3674656	117721
Taliesin, County Road C, Spring Green, Wisconsin	Wright Brothers National Memorial Visitor Center, Manteo, NC	1869857	64810
Hanford Site, Benton County, WA	Yellowstone National Park, WY 82190	1214950	42730
Acadia National Park, Maine	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	5418743	175779
Craters of the Moon National Monument & Preserve, Arco, ID	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	3747256	123720
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	354930	15229
Cape Canaveral, FL	New Castle Historic District, Delaware	1544583	49962
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	The Alamo, Alamo Plaza, San Antonio, TX	1949778	63675
Congress Hall, Congress Place, Cape May, NJ 08204	Columbia River Gorge National Scenic Area, Oregon	4589082	149141
USS Alabama, Battleship Parkway, Mobile, AL	Shelburne Farms, Harbor Road, Shelburne, VT	2387575	79031
The Alamo, Alamo Plaza, San Antonio, TX	Glacier National Park, West Glacier, MT	2995591	98170
Statue of Liberty, Liberty Island, NYC, NY	Ashfall Fossil Bed, Royal, NE	2245869	75913
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3751821	121023
Lost World Caverns, Lewisburg, WV	The Breakers, Ochre Point Avenue, Newport, RI	1060206	37070
Shelburne Farms, Harbor Road, Shelburne, VT	Pikes Peak, Colorado	3189307	108703
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	1432857	47614
Maryland State House, 100 State Cir, Annapolis, MD 21401	Congress Hall, Congress Place, Cape May, NJ 08204	284500	11072
Mount Vernon, Fairfax County, Virginia	Craters of the Moon National Monument & Preserve, Arco, ID	3630343	118186
Liberty Bell, 6th Street, Philadelphia, PA	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4626854	148352
Toltec Mounds, Scott, AR	Olympia Entertainment, Woodward Avenue, Detroit, MI	1402648	46020
Lost World Caverns, Lewisburg, WV	Ashfall Fossil Bed, Royal, NE	1903828	64750
Congress Hall, Congress Place, Cape May, NJ 08204	French Quarter, New Orleans, LA	2045021	67422
Taliesin, County Road C, Spring Green, Wisconsin	New Castle Historic District, Delaware	1544803	53839
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Fort Snelling, Tower Avenue, Saint Paul, MN	1071728	34851
Hanford Site, Benton County, WA	Glacier National Park, West Glacier, MT	683123	24469
Hanford Site, Benton County, WA	Congress Hall, Congress Place, Cape May, NJ 08204	4474392	146074
New Castle Historic District, Delaware	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1187638	40989
Graceland, Elvis Presley Boulevard, Memphis, TN	Pikes Peak, Colorado	1792648	59301
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Ashfall Fossil Bed, Royal, NE	2270381	77013
San Andreas Fault, San Benito County, CA	USS Constitution, Boston, MA	5127066	166130
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Mount Vernon, Fairfax County, Virginia	2204704	71995
San Andreas Fault, San Benito County, CA	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	5217759	171230
Maryland State House, 100 State Cir, Annapolis, MD 21401	Pikes Peak, Colorado	2729245	91812
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	947062	32347
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	San Andreas Fault, San Benito County, CA	2905229	93739
San Andreas Fault, San Benito County, CA	Yellowstone National Park, WY 82190	1747331	61356
Wright Brothers National Memorial Visitor Center, Manteo, NC	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1643008	52482
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Craters of the Moon National Monument & Preserve, Arco, ID	3984636	130620
Graceland, Elvis Presley Boulevard, Memphis, TN	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	671337	22049
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Fort Sumter National Monument, Sullivan's Island, SC	3179558	103575
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Pikes Peak, Colorado	3418392	114811
Graceland, Elvis Presley Boulevard, Memphis, TN	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2291550	77952
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Vicksburg National Military Park, Clay Street, Vicksburg, MS	810507	26740
Mount Vernon, Fairfax County, Virginia	New Castle Historic District, Delaware	169236	6985
Pikes Peak, Colorado	French Quarter, New Orleans, LA	2019630	68626
Mount Vernon, Fairfax County, Virginia	The Alamo, Alamo Plaza, San Antonio, TX	2579868	82894
Ashfall Fossil Bed, Royal, NE	Fort Snelling, Tower Avenue, Saint Paul, MN	607553	22708
New Castle Historic District, Delaware	Fort Snelling, Tower Avenue, Saint Paul, MN	1900450	64852
Mount Vernon, Fairfax County, Virginia	Carlsbad Caverns National Park, Carlsbad, NM	2930231	97369
USS Alabama, Battleship Parkway, Mobile, AL	New Castle Historic District, Delaware	1707248	56147
Congress Hall, Congress Place, Cape May, NJ 08204	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1518228	51482
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Statue of Liberty, Liberty Island, NYC, NY	2983852	98722
Hanford Site, Benton County, WA	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	3530581	115217
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Ashfall Fossil Bed, Royal, NE	1399554	47258
The Breakers, Ochre Point Avenue, Newport, RI	USS Constitution, Boston, MA	120154	5338
Maryland State House, 100 State Cir, Annapolis, MD 21401	Liberty Bell, 6th Street, Philadelphia, PA	206045	7473
Lost World Caverns, Lewisburg, WV	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1336291	42854
Graceland, Elvis Presley Boulevard, Memphis, TN	Cape Canaveral, FL	1341318	44354
Taliesin, County Road C, Spring Green, Wisconsin	Craters of the Moon National Monument & Preserve, Arco, ID	2398626	77738
Hoover Dam, NV	Fort Sumter National Monument, Sullivan's Island, SC	3585717	114503
Yellowstone National Park, WY 82190	Glacier National Park, West Glacier, MT	905478	36382
Shelburne Farms, Harbor Road, Shelburne, VT	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1532580	55702
Maryland State House, 100 State Cir, Annapolis, MD 21401	Hanford Site, Benton County, WA	4280062	138804
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Grand Canyon National Park, Arizona	2861597	90877
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Cape Canaveral, FL	2059873	67236
White House, Pennsylvania Avenue Northwest, Washington, DC	Acadia National Park, Maine	1136168	41070
Toltec Mounds, Scott, AR	The Alamo, Alamo Plaza, San Antonio, TX	974447	31908
White House, Pennsylvania Avenue Northwest, Washington, DC	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1259332	43180
Fort Sumter National Monument, Sullivan's Island, SC	Yellowstone National Park, WY 82190	3522910	118615
San Andreas Fault, San Benito County, CA	Gateway Arch, Washington Avenue, St Louis, MO	3243113	103924
Craters of the Moon National Monument & Preserve, Arco, ID	French Quarter, New Orleans, LA	3174475	105249
Toltec Mounds, Scott, AR	USS Constitution, Boston, MA	2338394	77484
Pikes Peak, Colorado	Statue of Liberty, Liberty Island, NYC, NY	2909086	98054
Cape Canaveral, FL	French Quarter, New Orleans, LA	1112328	34804
New Castle Historic District, Delaware	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1381193	47996
Statue of Liberty, Liberty Island, NYC, NY	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4676008	150374
Hoover Dam, NV	Lost World Caverns, Lewisburg, WV	3537579	111813
Maryland State House, 100 State Cir, Annapolis, MD 21401	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1170057	38211
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	The Breakers, Ochre Point Avenue, Newport, RI	3281541	108734
USS Alabama, Battleship Parkway, Mobile, AL	Taliesin, County Road C, Spring Green, Wisconsin	1681531	57125
Shelburne Farms, Harbor Road, Shelburne, VT	USS Constitution, Boston, MA	352908	12461
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Acadia National Park, Maine	3724389	124204
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Acadia National Park, Maine	1826373	62529
The Breakers, Ochre Point Avenue, Newport, RI	Gateway Arch, Washington Avenue, St Louis, MO	1823335	63268
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	2011410	65799
Taliesin, County Road C, Spring Green, Wisconsin	French Quarter, New Orleans, LA	1729998	55959
Fort Sumter National Monument, Sullivan's Island, SC	Acadia National Park, Maine	1994724	68336
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1675183	56120
Gateway Arch, Washington Avenue, St Louis, MO	Ashfall Fossil Bed, Royal, NE	973284	33919
Mount Vernon, Fairfax County, Virginia	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1078689	36453
Maryland State House, 100 State Cir, Annapolis, MD 21401	The Alamo, Alamo Plaza, San Antonio, TX	2642482	85073
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3683936	117748
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2879277	91764
USS Alabama, Battleship Parkway, Mobile, AL	Craters of the Moon National Monument & Preserve, Arco, ID	3412760	112517
Hoover Dam, NV	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	3101055	98114
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	White House, Pennsylvania Avenue Northwest, Washington, DC	550976	20506
Terrace Hill, Grand Avenue, Des Moines, IA	French Quarter, New Orleans, LA	1631859	53421
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Fort Sumter National Monument, Sullivan's Island, SC	2942338	94545
Wright Brothers National Memorial Visitor Center, Manteo, NC	USS Constitution, Boston, MA	1063168	40159
Fort Sumter National Monument, Sullivan's Island, SC	The Alamo, Alamo Plaza, San Antonio, TX	2061745	66283
USS Constitution, Boston, MA	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4988547	160560
Wright Brothers National Memorial Visitor Center, Manteo, NC	French Quarter, New Orleans, LA	1710546	54335
Cape Canaveral, FL	Fort Snelling, Tower Avenue, Saint Paul, MN	2528087	83138
Mount Vernon, Fairfax County, Virginia	Taliesin, County Road C, Spring Green, Wisconsin	1444824	49855
Taliesin, County Road C, Spring Green, Wisconsin	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	488221	16708
Toltec Mounds, Scott, AR	Bryce Canyon National Park, Hwy 63, Bryce, UT	2310372	77039
White House, Pennsylvania Avenue Northwest, Washington, DC	Columbia River Gorge National Scenic Area, Oregon	4356142	140831
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Cape Canaveral, FL	1328279	42300
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	The Alamo, Alamo Plaza, San Antonio, TX	3129292	101592
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Pikes Peak, Colorado	1210842	43490
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1255436	41765
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Yellowstone National Park, WY 82190	2069144	70493
Terrace Hill, Grand Avenue, Des Moines, IA	Olympia Entertainment, Woodward Avenue, Detroit, MI	961951	31389
Cape Canaveral, FL	Glacier National Park, West Glacier, MT	4307136	142282
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Vicksburg National Military Park, Clay Street, Vicksburg, MS	861072	27740
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Carlsbad Caverns National Park, Carlsbad, NM	2045404	70443
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1811850	62418
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Liberty Bell, 6th Street, Philadelphia, PA	1865848	62627
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Acadia National Park, Maine	2776915	92233
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Cape Canaveral, FL	3247298	103255
Terrace Hill, Grand Avenue, Des Moines, IA	Taliesin, County Road C, Spring Green, Wisconsin	431273	14664
Maryland State House, 100 State Cir, Annapolis, MD 21401	Glacier National Park, West Glacier, MT	3601333	121768
USS Alabama, Battleship Parkway, Mobile, AL	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	625397	21721
The Breakers, Ochre Point Avenue, Newport, RI	Wright Brothers National Memorial Visitor Center, Manteo, NC	1008190	38506
Liberty Bell, 6th Street, Philadelphia, PA	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1861049	60510
Acadia National Park, Maine	Grand Canyon National Park, Arizona	4655701	151382
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1953916	67074
Fort Snelling, Tower Avenue, Saint Paul, MN	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1110505	38784
Hanford Site, Benton County, WA	Pikes Peak, Colorado	1948710	66209
Hoover Dam, NV	Graceland, Elvis Presley Boulevard, Memphis, TN	2504838	78843
New Castle Historic District, Delaware	Statue of Liberty, Liberty Island, NYC, NY	298132	10955
Toltec Mounds, Scott, AR	Craters of the Moon National Monument & Preserve, Arco, ID	2720150	87610
Hoover Dam, NV	Grand Canyon National Park, Arizona	390505	12874
Yellowstone National Park, WY 82190	French Quarter, New Orleans, LA	2943174	101546
Statue of Liberty, Liberty Island, NYC, NY	Olympia Entertainment, Woodward Avenue, Detroit, MI	993338	33526
Fort Sumter National Monument, Sullivan's Island, SC	Ashfall Fossil Bed, Royal, NE	2351786	78304
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	New Castle Historic District, Delaware	931480	33116
Mount Vernon, Fairfax County, Virginia	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1079835	35606
Hanford Site, Benton County, WA	The Alamo, Alamo Plaza, San Antonio, TX	3128728	105141
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	1231682	41511
Shelburne Farms, Harbor Road, Shelburne, VT	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4850154	159553
French Quarter, New Orleans, LA	Glacier National Park, West Glacier, MT	3565117	118390
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Lost World Caverns, Lewisburg, WV	2460677	80618
USS Alabama, Battleship Parkway, Mobile, AL	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	864616	27305
Pikes Peak, Colorado	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1489713	50155
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	1986021	69191
USS Alabama, Battleship Parkway, Mobile, AL	White House, Pennsylvania Avenue Northwest, Washington, DC	1557762	50504
Toltec Mounds, Scott, AR	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	722344	25610
Craters of the Moon National Monument & Preserve, Arco, ID	Bryce Canyon National Park, Hwy 63, Bryce, UT	849848	26970
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2207410	72609
Acadia National Park, Maine	Glacier National Park, West Glacier, MT	4450701	151090
Toltec Mounds, Scott, AR	Liberty Bell, 6th Street, Philadelphia, PA	1850866	60901
Liberty Bell, 6th Street, Philadelphia, PA	Graceland, Elvis Presley Boulevard, Memphis, TN	1634964	53535
Terrace Hill, Grand Avenue, Des Moines, IA	New Castle Historic District, Delaware	1764053	59412
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	New Castle Historic District, Delaware	2746841	91089
The Breakers, Ochre Point Avenue, Newport, RI	Cape Canaveral, FL	2049951	68069
Terrace Hill, Grand Avenue, Des Moines, IA	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1340289	44533
Carlsbad Caverns National Park, Carlsbad, NM	Yellowstone National Park, WY 82190	1844673	67814
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Yellowstone National Park, WY 82190	3925672	134524
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Ashfall Fossil Bed, Royal, NE	1415710	49510
USS Constitution, Boston, MA	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1823494	61766
Shelburne Farms, Harbor Road, Shelburne, VT	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1582765	56311
Maryland State House, 100 State Cir, Annapolis, MD 21401	Fort Snelling, Tower Avenue, Saint Paul, MN	1817199	61076
Taliesin, County Road C, Spring Green, Wisconsin	Ashfall Fossil Bed, Royal, NE	751773	27471
Gateway Arch, Washington Avenue, St Louis, MO	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	381136	12903
Craters of the Moon National Monument & Preserve, Arco, ID	Olympia Entertainment, Woodward Avenue, Detroit, MI	2929304	94463
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Glacier National Park, West Glacier, MT	3061692	103519
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	San Andreas Fault, San Benito County, CA	4976755	161077
USS Constitution, Boston, MA	Columbia River Gorge National Scenic Area, Oregon	4814513	156100
Maryland State House, 100 State Cir, Annapolis, MD 21401	USS Constitution, Boston, MA	689767	24684
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Gateway Arch, Washington Avenue, St Louis, MO	2009904	69030
USS Constitution, Boston, MA	Yellowstone National Park, WY 82190	3834982	129564
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Yellowstone National Park, WY 82190	1725271	60529
Wright Brothers National Memorial Visitor Center, Manteo, NC	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	974305	32187
Yellowstone National Park, WY 82190	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2524697	86519
Wright Brothers National Memorial Visitor Center, Manteo, NC	Statue of Liberty, Liberty Island, NYC, NY	720092	27777
Craters of the Moon National Monument & Preserve, Arco, ID	Fort Snelling, Tower Avenue, Saint Paul, MN	2074907	66319
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Olympia Entertainment, Woodward Avenue, Detroit, MI	418716	14381
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1000446	32351
Graceland, Elvis Presley Boulevard, Memphis, TN	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	787078	25987
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Glacier National Park, West Glacier, MT	2707726	86377
Lost World Caverns, Lewisburg, WV	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1013896	34420
The Breakers, Ochre Point Avenue, Newport, RI	Fort Snelling, Tower Avenue, Saint Paul, MN	2222722	75082
Congress Hall, Congress Place, Cape May, NJ 08204	Bryce Canyon National Park, Hwy 63, Bryce, UT	3823059	125963
Olympia Entertainment, Woodward Avenue, Detroit, MI	Fort Snelling, Tower Avenue, Saint Paul, MN	1111015	37041
The Alamo, Alamo Plaza, San Antonio, TX	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1693831	55844
